Atmospheric.Condition,Roadway,Person.Type,Drug.Involvement,Race,Gender,Injury.Severity,region,Fatalities.in.crash,Alcohol.Results,agenew1,age_cat
"Sleet, Hail (Freezing Rain or Drizzle)",Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),South,2,0,32,31-40
Cloudy,Urban-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,\N,Male,Fatal Injury (K),West,2,0,44,41-50
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0.16,39,31-40
Clear,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),South,1,0,24,16-25
Rain,Urban-Principal Arterial-Other Freeways or Expressways,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),West,1,0,25,16-25
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,92,61+
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,24,16-25
"Fog, Smog, Smoke",Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,1,0.2,24,16-25
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,59,51-60
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),West,1,0.09,30,26-30
Rain,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,39,31-40
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0.24,50,41-50
"Sleet, Hail (Freezing Rain or Drizzle)",Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,22,16-25
Rain,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,1,0,62,61+
Clear,Rural-Minor Arterial,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,92,61+
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,47,41-50
"Sleet, Hail (Freezing Rain or Drizzle)",Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,30,26-30
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),West,3,0,51,51-60
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,3,0,53,51-60
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,38,31-40
Cloudy,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Yes,Black,Male,Fatal Injury (K),South,1,0,28,26-30
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),West,1,0.14,28,26-30
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,56,51-60
Rain,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0.1,34,31-40
Clear,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0.15,58,51-60
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),South,1,0,58,51-60
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),West,1,0.01,60,51-60
Cloudy,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),Northeast,1,0,83,61+
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,64,61+
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),Northeast,1,0,23,16-25
Rain,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,\N,Male,Fatal Injury (K),Northeast,1,0,66,61+
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Yes,Black,Male,Fatal Injury (K),South,1,0.01,33,31-40
Clear,Urban-Collector,Passenger of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),South,2,0,16,16-25
Clear,Urban-Collector,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),South,2,0,18,16-25
Cloudy,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,41,41-50
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,32,31-40
Clear,Urban-Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,1,0,28,26-30
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,18,16-25
"Sleet, Hail (Freezing Rain or Drizzle)",Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,2,0,46,41-50
"Sleet, Hail (Freezing Rain or Drizzle)",Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),South,2,0,71,61+
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),West,1,0,63,61+
Clear,Urban-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),South,1,0,16,16-25
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,44,41-50
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,35,31-40
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Unknown,Black,Male,Fatal Injury (K),South,1,0,18,16-25
Clear,Urban-Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,87,61+
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),South,1,0,30,26-30
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,3,0,19,16-25
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,61,61+
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0.14,41,41-50
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,86,61+
Snow,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,Unknown,Female,Fatal Injury (K),Northeast,1,0,83,61+
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,66,61+
Clear,Urban-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,30,26-30
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,28,26-30
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,61,61+
Cloudy,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,1,0,44,41-50
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,61,61+
"Sleet, Hail (Freezing Rain or Drizzle)",Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,65,61+
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),Northeast,1,0.27,33,31-40
Cloudy,Urban-Other Principal Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,79,61+
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),South,1,0.34,38,31-40
Cloudy,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,23,16-25
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),West,1,0.06,56,51-60
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,3,0,16,16-25
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,43,41-50
Snow,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,\N,Female,Fatal Injury (K),Northeast,1,0,64,61+
Clear,Urban-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),Northeast,2,0.17,23,16-25
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,2,0.2,29,26-30
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Not Reported,American Indian (includes Aleuts and Eskimos),Female,Fatal Injury (K),West,1,0,28,26-30
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,64,61+
Snow,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),Northeast,1,0,25,16-25
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,\N,Female,Fatal Injury (K),Northeast,1,0,33,31-40
Cloudy,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,Unknown,Female,Fatal Injury (K),West,2,0,64,61+
Cloudy,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,32,31-40
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),West,1,0.27,21,16-25
Rain,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,36,31-40
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,80,61+
Cloudy,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,67,61+
Cloudy,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,23,16-25
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0.19,46,41-50
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,33,31-40
Clear,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,2,0,54,51-60
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,2,0,59,51-60
Snow,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0,56,51-60
Snow,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,No,Unknown,Female,Fatal Injury (K),Northeast,1,0,62,61+
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,48,41-50
Clear,Urban-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,2,0,17,16-25
Clear,Urban-Local Road or Street,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,2,0,44,41-50
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,2,0,45,41-50
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,\N,Male,Fatal Injury (K),South,1,0,27,26-30
Rain,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),West,1,0,18,16-25
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,33,31-40
Cloudy,Urban-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,\N,Female,Fatal Injury (K),West,1,0,23,16-25
Clear,Urban-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,26,26-30
Clear,Urban-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,\N,Female,Fatal Injury (K),West,1,0,59,51-60
Clear,Urban-Other Principal Arterial,Passenger of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,60,51-60
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0.11,38,31-40
Clear,Urban-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),South,2,0,16,16-25
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,Black,Female,Fatal Injury (K),South,2,0,22,16-25
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),South,1,0,48,41-50
Clear,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),South,1,0,24,16-25
Clear,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,18,16-25
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,3,0,37,31-40
Clear,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,3,0,53,51-60
Cloudy,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0.16,30,26-30
Cloudy,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,18,16-25
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),Northeast,1,0.15,26,26-30
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),South,1,0,21,16-25
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),South,1,0.2,24,16-25
Clear,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Not Reported,Unknown,Female,Fatal Injury (K),South,1,0,21,16-25
Cloudy,Urban-Other Principal Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),West,1,0,64,61+
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),West,1,0,71,61+
Rain,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,53,51-60
Cloudy,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,43,41-50
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,16,16-25
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),West,1,0,60,51-60
Cloudy,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,Not Reported,\N,Male,Fatal Injury (K),West,1,0.16,24,16-25
Rain,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,55,51-60
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),West,1,0,59,51-60
Cloudy,Urban-Other Principal Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0.16,40,31-40
Cloudy,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0,93,61+
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,21,16-25
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,29,26-30
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0,45,41-50
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0.1,60,51-60
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,55,51-60
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,1,0,72,61+
Not Reported,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),West,2,0,80,61+
Not Reported,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,2,0,82,61+
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Yes,Black,Male,Fatal Injury (K),Northeast,1,0,27,26-30
Cloudy,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,75,61+
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),Northeast,1,0,48,41-50
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,43,41-50
"Sleet, Hail (Freezing Rain or Drizzle)",Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),South,1,0,32,31-40
Clear,Urban-Other Principal Arterial,Passenger of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),South,2,0,83,61+
Clear,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,\N,Male,Fatal Injury (K),West,1,0.23,37,31-40
Clear,Urban-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,24,16-25
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0.22,53,51-60
Cloudy,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,2,0,47,41-50
Cloudy,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,2,0,51,51-60
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Unknown,Chinese,Male,Fatal Injury (K),West,1,0,75,61+
Cloudy,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),West,1,0,40,31-40
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,45,41-50
Clear,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0.22,33,31-40
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0.24,22,16-25
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,62,61+
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0.16,21,16-25
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,79,61+
Snow,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,44,41-50
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),Northeast,1,0,64,61+
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),Northeast,1,0.1,25,16-25
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,38,31-40
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,52,51-60
Cloudy,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,77,61+
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0.2,35,31-40
Clear,Unknown,Driver of a Motor Vehicle In-Transport,No,\N,Male,Fatal Injury (K),South,1,0,31,31-40
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,84,61+
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0.18,17,16-25
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),West,1,0.33,44,41-50
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),South,1,0,70,61+
Cloudy,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),Northeast,1,0.19,19,16-25
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),Northeast,1,0.25,39,31-40
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,2,0,23,16-25
Clear,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),Northeast,1,0,20,16-25
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,26,26-30
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),West,1,0,62,61+
Clear,Urban-Other Principal Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,63,61+
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,78,61+
Clear,Rural-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),West,1,0,40,31-40
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,32,31-40
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),West,1,0,55,51-60
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,40,31-40
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Unknown,\N,Male,Fatal Injury (K),West,1,0,60,51-60
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,Hawaiian (includes Part-Hawaiian),Female,Fatal Injury (K),South,1,0,77,61+
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0.01,54,51-60
Rain,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,\N,Male,Fatal Injury (K),Northeast,1,0,79,61+
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),South,1,0,29,26-30
Clear,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0,88,61+
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),West,1,0,23,16-25
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,Unknown,Male,Fatal Injury (K),Northeast,1,0,23,16-25
Rain,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),West,1,0,72,61+
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,2,0,23,16-25
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0.2,21,16-25
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,57,51-60
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0.16,25,16-25
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,58,51-60
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),West,1,0,48,41-50
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),South,2,0,27,26-30
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),South,2,0,57,51-60
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,77,61+
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,2,0,61,61+
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,2,0,62,61+
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0.17,43,41-50
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,2,0.26,51,51-60
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,Chinese,Male,Fatal Injury (K),West,1,0,79,61+
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,51,51-60
Cloudy,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,2,0,30,26-30
